date,cape,ecy,buffett,pe,pb,div_yield,fed_spread,trend_dev,aiae
1871-01-01,,,,11.1,,5.86,3.689009009009009,10.509103340632686,
1871-02-01,10.92,,,11.25,,5.78,3.565555555555556,8.50586486038145,
1871-03-01,11.19,,,11.52,,5.64,3.3538888888888883,9.355726627934025,
1871-04-01,12.05,,,11.85,,5.49,3.108818565400844,16.507579377376523,
1871-05-01,12.59,,,12.15,,5.35,2.8971193415637853,22.034765333672212,
1871-06-01,12.59,,,12.05,,5.39,2.9620885200553237,22.735374437073986,
1871-07-01,12.27,,,11.82,,5.5,3.120236886632826,20.24634334003741,
1871-08-01,12.55,,,11.98,,5.43,3.0039120756816917,23.516924547492856,
1871-09-01,12.31,,,12.1,,5.37,2.9177961432506887,21.68167906365528,
1871-10-01,11.47,,,11.48,,5.66,3.360801393728223,13.435404845698162,
1871-11-01,11.6,,,11.6,,5.6,3.267356321839081,14.483248577147311,
1871-12-01,11.59,,,11.85,,5.49,3.0821518987341774,14.124789185535258,
1872-01-01,11.9,,,12.07,,5.42,2.925004142502071,16.822350461085268,
1872-02-01,11.96,,,12.05,,5.47,2.9204218533886577,17.11095346130309,
1872-03-01,12.18,,,12.37,,5.36,2.68740770681757,18.963997377060803,
1872-04-01,12.25,,,12.63,,5.28,2.5026563737133793,19.41407355352527,
1872-05-01,12.28,,,12.56,,5.34,2.528450106157112,19.218468278283506,
1872-06-01,12.27,,,12.36,,5.46,2.6389482200647265,18.734883841383756,
1872-07-01,12.38,,,12.22,,5.55,2.7133060556464805,19.593419781706434,
1872-08-01,12.13,,,12.0,,5.69,2.8450000000000006,17.125070364837256,
1872-09-01,11.83,,,11.72,,5.86,3.0257565415244594,14.006664006617097,
1872-10-01,12.13,,,11.69,,5.9,3.029319931565441,16.838833983300773,
1872-11-01,11.71,,,11.58,,5.99,3.0922452504317786,12.809875889447131,
1872-12-01,12.17,,,11.79,,5.92,2.9200975402883804,17.052147001172436,
1873-01-01,12.25,,,11.82,,5.92,2.880236886632826,17.782386287486606,
1873-02-01,12.05,,,11.84,,5.92,2.875112612612612,15.95234428907677,
1873-03-01,11.95,,,11.68,,6.02,2.9999771689497727,14.863283961514483,
1873-04-01,11.78,,,11.45,,6.15,3.181124454148473,13.104240837188708,
1873-05-01,12.05,,,11.41,,6.19,3.2209085597429166,15.638626124709166,
1873-06-01,12.22,,,11.19,,6.33,3.4023838248436116,17.29886412938233,
1873-07-01,12.16,,,11.11,,6.39,3.4759000900090005,16.871569592580048,
1873-08-01,12.12,,,11.04,,6.44,3.5421376811594207,16.68012904576841,
1873-09-01,11.16,,,10.14,,7.03,4.355266272189348,7.582398305353721,
1873-10-01,10.4,,,9.21,,7.76,5.360263300760042,0.3261213683610098,
1873-11-01,10.31,,,8.83,,8.11,5.836694979237449,-0.3335540796987835,
1873-12-01,10.96,,,9.61,,7.47,4.9266605966007635,6.3111343020277655,
1874-01-01,11.33,,,10.13,,7.08,4.401668311944719,10.178918963609052,
1874-02-01,11.63,,,10.43,,6.88,4.151061041866412,13.30311546097722,
1874-03-01,11.43,,,10.28,,6.98,4.324293125810637,11.467889689326572,
1874-04-01,11.26,,,10.0,,7.17,4.63,9.917390800089887,
1874-05-01,11.02,,,9.74,,7.37,4.930273785078712,7.7163356031283215,
1874-06-01,11.19,,,9.7,,7.4,5.005945017182131,9.649757860898834,
1874-07-01,11.07,,,9.7,,7.4,5.039278350515465,8.594206939311544,
1874-08-01,11.14,,,9.72,,7.38,5.051399176954732,9.535876944841037,
1874-09-01,11.28,,,9.87,,7.27,4.928378926038501,11.068969725496093,
1874-10-01,11.4,,,9.85,,7.28,4.982284263959391,12.456985419407562,
1874-11-01,11.56,,,9.93,,7.22,4.933826787512588,14.199608752632686,
1874-12-01,11.45,,,9.87,,7.27,5.028378926038501,13.26410377568732,
1875-01-01,11.41,,,10.05,,7.21,4.880248756218904,13.078572409620026,
1875-02-01,11.35,,,10.22,,7.17,4.754735812133071,12.644681196333774,
1875-03-01,11.48,,,10.55,,7.03,4.4886729857819905,13.949703072763796,
1875-04-01,11.51,,,10.9,,6.88,4.2243119266055045,14.306080383210439,
1875-05-01,11.33,,,10.69,,7.1,4.444536950420954,12.466707632240382,
1875-06-01,11.28,,,10.68,,7.19,4.493295880149813,11.902057875528316,
1875-07-01,11.29,,,10.93,,7.12,4.319130832570906,11.973823254551675,
1875-08-01,11.24,,,11.21,,7.03,4.130606601248885,11.348619734629285,
1875-09-01,11.24,,,11.35,,7.04,4.060572687224671,11.098826587159794,
1875-10-01,11.06,,,11.41,,7.09,4.054241893076249,9.140142049352672,
1875-11-01,11.34,,,11.87,,6.92,3.7545998315080045,11.689965046270444,
1875-12-01,11.45,,,12.14,,6.86,3.607232289950576,12.476839349044443,
1876-01-01,11.79,,,12.62,,6.73,3.3339302694136297,15.610779237986105,
1876-02-01,11.96,,,13.04,,6.64,3.090378323108385,16.974158231615345,
1876-03-01,11.95,,,13.26,,6.65,2.9748114630467573,16.52418116764245,
1876-04-01,11.63,,,13.02,,6.91,3.1254915514592927,12.938290939701202,
1876-05-01,11.63,,,12.79,,7.18,3.2752749543914526,12.581643265420993,
1876-06-01,11.88,,,12.97,,7.23,3.1784335646363404,14.749433594685591,
1876-07-01,11.75,,,13.09,,7.32,3.1194194041252867,13.181210530888388,
1876-08-01,11.18,,,12.81,,7.63,3.298067915690866,7.2981644264561,
1876-09-01,10.42,,,12.3,,8.13,3.63341463414634,-0.3509131901808571,
1876-10-01,10.2,,,12.51,,8.17,3.508605115907274,-2.852001336722798,
1876-11-01,9.94,,,12.56,,8.33,3.488450106157112,-5.718342788517516,
1876-12-01,9.74,,,12.79,,8.38,3.3569416210581187,-8.052759197693115,
1877-01-01,9.52,,,12.6,,8.19,3.4865079365079366,-10.555357369592711,
1877-02-01,9.23,,,11.79,,8.43,4.040930873621714,-13.734052027713927,
1877-03-01,9.2,,,11.12,,8.6,4.561139088729018,-14.439133741833054,
1877-04-01,8.31,,,10.25,,8.96,5.333597560975609,-22.937468961296837,
